                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.52908,                0.34293,                0.91956,                0.89001,                0.87297,                0.88923,                0.77109,                0.78425,                0.87702,                0.98014,              0.0004654,              0.0004654,              0.0004654
                    110,                0.54268,                0.35184,                0.92474,                0.83341,                0.86151,                0.87582,                0.75335,                0.80691,                0.91066,                0.98563,             0.00046045,             0.00046045,             0.00046045
                    111,                0.53218,                0.36242,                0.91967,                0.83839,                0.86798,                0.87653,                0.75917,                0.79865,                0.92722,                0.99649,              0.0004555,              0.0004555,              0.0004555
                    112,                0.52111,                0.34108,                0.91766,                0.88944,                 0.8856,                0.90879,                0.78307,                0.79788,                0.69119,                0.97481,             0.00045055,             0.00045055,             0.00045055
                    113,                0.52146,                0.34646,                0.91287,                0.85777,                0.89262,                0.90806,                0.78542,                0.80483,                0.82504,                 1.0066,              0.0004456,              0.0004456,              0.0004456
                    114,                0.52405,                0.35029,                0.92274,                0.86849,                0.86701,                0.89038,                0.77223,                 0.7744,                0.82663,                0.99456,             0.00044065,             0.00044065,             0.00044065
                    115,                0.52128,                0.34428,                0.91782,                0.84648,                0.85092,                0.86942,                0.75121,                0.80691,                0.79913,                0.97558,              0.0004357,              0.0004357,              0.0004357
                    116,                0.51299,                0.33906,                0.91384,                0.86555,                0.82796,                0.86758,                0.74733,                0.81199,                0.91684,                0.99108,             0.00043075,             0.00043075,             0.00043075
                    117,                0.52524,                0.34076,                0.92082,                0.85135,                0.86418,                0.87318,                0.76775,                0.77704,                 0.9344,                0.98842,              0.0004258,              0.0004258,              0.0004258
                    118,                0.52107,                0.34854,                0.91952,                0.86179,                0.87454,                0.87964,                0.76217,                0.77972,                0.80093,                0.99853,             0.00042085,             0.00042085,             0.00042085
                    119,                0.51952,                 0.3387,                0.91534,                 0.8494,                0.87933,                0.89483,                0.77285,                0.78583,                0.79864,                0.99737,              0.0004159,              0.0004159,              0.0004159
                    120,                 0.5253,                0.35329,                0.91726,                0.85524,                0.84711,                0.87923,                0.76123,                0.78473,                0.89989,                 1.0053,             0.00041095,             0.00041095,             0.00041095
                    121,                0.50812,                0.34218,                 0.9123,                0.87106,                0.83907,                0.89157,                0.76548,                0.77537,                 0.8331,                0.99478,               0.000406,               0.000406,               0.000406
                    122,                0.51566,                0.34081,                0.91369,                0.87669,                0.86945,                0.89333,                0.77125,                0.80389,                0.85361,                 1.0356,             0.00040105,             0.00040105,             0.00040105
                    123,                 0.5029,                0.33831,                0.91648,                 0.8653,                0.84133,                0.88751,                0.76612,                0.78757,                0.86018,                 1.0065,              0.0003961,              0.0003961,              0.0003961
                    124,                0.49772,                   0.33,                0.90722,                  0.862,                0.85458,                0.88218,                 0.7634,                0.80799,                0.90009,                 1.0286,             0.00039115,             0.00039115,             0.00039115
                    125,                0.50879,                0.33388,                0.91162,                0.87174,                0.83414,                 0.8724,                0.76082,                0.78779,                0.85581,                 1.0234,              0.0003862,              0.0003862,              0.0003862
                    126,                0.49088,                0.32486,                0.90967,                0.82835,                0.86412,                0.87619,                0.76667,                0.77154,                 0.8915,                0.99976,             0.00038125,             0.00038125,             0.00038125
                    127,                0.50085,                0.31666,                0.91428,                0.86836,                0.84198,                0.88019,                0.76587,                0.80781,                0.93419,                 1.0131,              0.0003763,              0.0003763,              0.0003763
                    128,                0.50493,                0.32648,                0.91324,                0.89516,                0.84628,                0.88199,                0.76791,                0.79936,                0.83855,                 1.0089,             0.00037135,             0.00037135,             0.00037135
                    129,                0.49352,                0.32763,                0.90722,                0.84938,                0.88208,                0.88484,                0.76587,                0.79181,                 0.8043,                 1.0075,              0.0003664,              0.0003664,              0.0003664
                    130,                0.50245,                0.33824,                0.91701,                0.88328,                  0.859,                0.87475,                0.75313,                0.79869,                0.85288,                 1.0109,             0.00036145,             0.00036145,             0.00036145
                    131,                0.49466,                0.33131,                0.91313,                0.84705,                0.89313,                 0.8954,                0.77687,                0.80187,                0.78408,                 0.9998,              0.0003565,              0.0003565,              0.0003565
                    132,                0.48975,                0.32219,                0.90864,                0.85344,                0.85989,                0.89334,                0.77371,                0.77956,                0.82246,                0.99452,             0.00035155,             0.00035155,             0.00035155
                    133,                0.49522,                 0.3253,                0.90169,                0.89302,                0.86063,                0.89522,                0.77775,                0.77639,                0.80312,                 1.0036,              0.0003466,              0.0003466,              0.0003466
                    134,                0.49604,                0.32129,                 0.9143,                0.88129,                0.83406,                0.88886,                0.76652,                0.77755,                  0.785,                  1.001,             0.00034165,             0.00034165,             0.00034165
                    135,                0.49367,                 0.3167,                0.90693,                0.87781,                0.85379,                 0.8904,                0.77475,                0.78107,                 0.8125,                 1.0127,              0.0003367,              0.0003367,              0.0003367
                    136,                0.49366,                 0.3234,                  0.909,                0.88816,                0.84274,                0.88945,                0.78153,                0.79314,                0.81986,                 1.0266,             0.00033175,             0.00033175,             0.00033175
                    137,                0.48197,                 0.3055,                0.90422,                0.82563,                 0.8796,                0.88915,                0.78458,                0.79553,                0.90727,                 1.0118,              0.0003268,              0.0003268,              0.0003268
                    138,                0.47924,                0.31473,                0.90005,                0.83401,                0.90374,                 0.8907,                0.77882,                0.79148,                0.84856,                 1.0226,             0.00032185,             0.00032185,             0.00032185
                    139,                0.46634,                0.29986,                 0.8978,                0.81461,                 0.8985,                0.87664,                0.76604,                0.79233,                0.83419,                 1.0149,              0.0003169,              0.0003169,              0.0003169
                    140,                  0.471,                0.30477,                0.89878,                0.82866,                0.87951,                0.88151,                0.76326,                 0.7959,                 0.8729,                 1.0303,             0.00031195,             0.00031195,             0.00031195
                    141,                0.48386,                0.30953,                0.91141,                0.88448,                0.83585,                0.87712,                0.76153,                0.77671,                0.87789,                 1.0056,               0.000307,               0.000307,               0.000307
                    142,                0.47532,                0.31595,                0.90533,                0.87909,                0.84536,                 0.8852,                0.77698,                0.79326,                 0.8992,                 1.0209,             0.00030205,             0.00030205,             0.00030205
                    143,                0.46969,                0.30303,                0.90163,                0.81995,                0.88423,                0.89665,                0.78335,                 0.7676,                0.81037,                0.99729,              0.0002971,              0.0002971,              0.0002971
                    144,                0.47473,                0.29655,                0.90058,                0.87591,                0.82998,                0.87604,                0.76901,                0.78225,                0.91216,                 1.0207,             0.00029215,             0.00029215,             0.00029215
                    145,                0.46822,                0.29404,                0.89409,                0.86012,                0.83136,                 0.8604,                0.75387,                0.77649,                0.90433,                 1.0281,              0.0002872,              0.0002872,              0.0002872
